SHOP_URL,GOODS_NAME,GOODS_URL,SHOP_NAME,COMPANY_NAME,file_urls,COMPANY_ADDRESS,GOODS_PRICE
//rate.taobao.com/user-rate-UvFxLOFx4MGQYMgTT.htm,套头毛衣女秋冬2017新款韩版百搭针织保暖打底衫女加厚加绒上衣服,http://detail.tmall.com/item.htm?id=561189254728&skuId=3512876920822&user_id=1669687416&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,xzicc旗舰店,,http://img.alicdn.com/bao/uploaded/i4/1669687416/TB1Nt3Lbr_I8KJjy1XaXXbsxpXa_!!0-item_pic.jpg_b.jpg,"广东,  广州",89.00
//rate.taobao.com/user-rate-UvCIWMCxSMF8GMWTT.htm,高领打底衫秋季2017新款女长袖秋冬韩版百搭上衣保暖衣服加绒加厚,http://detail.tmall.com/item.htm?id=43028293648&skuId=3665181062714&user_id=2206695537&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,嘉米歌旗舰店,,http://img.alicdn.com/bao/uploaded/i1/2206695537/TB1_2Muc6nD8KJjSspbXXbbEXXa_!!0-item_pic.jpg_b.jpg,东莞市,59.00
//rate.taobao.com/user-rate-UvCvYMmvyMGcWMgTT.htm,光泽裤女秋冬胖妹妹大码外穿薄款紧身冰丝踩脚冬季加厚加绒打底裤,http://detail.tmall.com/item.htm?id=520884098943&skuId=3203126358543&user_id=2314327706&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,爱之妖娆旗舰店,,http://img.alicdn.com/bao/uploaded/i4/2314327706/TB1FojfcwjN8KJjSZFkXXaboXXa_!!0-item_pic.jpg_b.jpg,"四川省,  绵阳市",39.00
//rate.taobao.com/user-rate-UvCkWvC8Gvmxb.htm,2017秋冬新款裙子气质女神范鹿皮绒内搭打底裙大码显瘦连衣裙女春,http://detail.tmall.com/item.htm?id=539323318699&skuId=3195030358980&user_id=290253065&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,ofelleen旗舰店,,http://img.alicdn.com/bao/uploaded/i2/290253065/TB1xL5OeILJ8KJjy0FnXXcFDpXa_!!0-item_pic.jpg_b.jpg,"广东,  深圳",268.00
//rate.taobao.com/user-rate-UvFcLOmQbMCH0OQTT.htm,QXF/千禧福双面羊绒大衣女2017秋冬装韩版茧型宽松中长款毛呢外套,http://detail.tmall.com/item.htm?id=520998257377&skuId=3504372349921&user_id=1768456149&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,千禧福旗舰店,,http://img.alicdn.com/bao/uploaded/i4/1768456149/TB1HMAmf3nH8KJjSspcXXb3QFXa_!!0-item_pic.jpg_b.jpg,"浙江省,  温州市",799.00
//rate.taobao.com/user-rate-UvCIyOmvLvFgGvQTT.htm,ZARA  女装 中腰破洞牛仔裤 05862162407,http://detail.tmall.com/item.htm?id=556119470769&skuId=3437809505112&user_id=2228361831&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,zara官方旗舰店,,http://img.alicdn.com/bao/uploaded/i2/2228361831/TB1nRGYcRTH8KJjy0FiXXcRsXXa_!!0-item_pic.jpg_b.jpg,上海,149.00
//rate.taobao.com/user-rate-UvCILMmIWvFk0MgTT.htm,LRUD卫衣女2017秋装新款女装韩版潮学生bf风长袖连帽宽松加绒外套,http://detail.tmall.com/item.htm?id=540341272404&skuId=3454560389160&user_id=2264201946&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,lrud旗舰店,,http://img.alicdn.com/bao/uploaded/i4/TB1ovK8NVXXXXa_XVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"广东,  广州",79.00
//rate.taobao.com/user-rate-UvCIyOmvLvFgGvQTT.htm,ZARA  女装 短款珍珠装饰针织衫 09598121802,http://detail.tmall.com/item.htm?id=557998991052&skuId=3628074826551&user_id=2228361831&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,zara官方旗舰店,,http://img.alicdn.com/bao/uploaded/i2/2228361831/TB1fqmhdoQIL1JjSZFhXXaDZFXa_!!0-item_pic.jpg_b.jpg,上海,359.00
//rate.taobao.com/user-rate-UOmQuvm8GvGkG.htm,鱼余秋冬装女装蓝色外套韩版加绒时尚休闲套装A字半身裙女两件套,http://detail.tmall.com/item.htm?id=536540656571&skuId=3202168982644&user_id=847053393&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,鱼余旗舰店,,http://img.alicdn.com/bao/uploaded/i1/847053393/TB12ieOSFXXXXcEXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"广东,  东莞",188.00
//rate.taobao.com/user-rate-UvGv4vGI0MmQYONTT.htm,加绒牛仔裤女2017新款秋冬季高腰小脚裤黑色韩版保暖加厚铅笔裤女,http://detail.tmall.com/item.htm?id=560472169201&skuId=3503071924536&user_id=3383244418&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,嘉敏儿旗舰店,,http://img.alicdn.com/bao/uploaded/i3/3383244418/TB1Gb9jcS_I8KJjy0FoXXaFnVXa_!!0-item_pic.jpg_b.jpg,,169.00
